Id,pricingInfos.price,pricingInfos.rentalTotalPrice
89224365f8,459011.20666666667,2552.54
363731333f,244238.9,1581.66
6e6283378a,498259.22,2397.74
4c29a27f44,1439031.96,7478.12
7b16cf224b,501846.6,2265.94
c0c699ebcc,303530.18,1843.832
d36b41a815,165702.58,1141.38
9be92984b9,574559.817,2873.3
f774771058,257791.86,1807.4720000000002
0c4add382a,1960180.86,9990.68
8d6b937f00,265502.62,1721.22
eb15c43587,650089.16,3532.36
b3bffc4413,888267.1333333333,6094.04
edf9c48708,415522.66,2487.12
50a0189faf,256937.84,9799.193333333333
de4b79dead,251637.44,1594.18
152f94bd3b,828715.78,3365.708
b7736872b6,730057.96,3683.4
db0b5c7a47,857923.58,5767.28
a8dd281b11,287264.42,2384.61
281151242b,666939.72,3285.26
2db79d7c7c,237353.29333333336,1247.84
fe82d83b82,1091019.88,7147.78
d7db923b3c,239961.52,1658.36
bc9bd0ab2b,309021.88,1865.22
7ca2b5fb45,375489.6,2135.18
191c9ed2b9,264427.44,1857.62
38de2dc1a8,217226.82,1487.43
55f24b8f6c,3397931.14,10824.64
38e7d3b079,266912.06,1607.46
53bd232479,1108701.84,8856.68
b579f925a4,623516.18,2388.76
92cc3536ed,2124975.92,10013.38
396f8c27da,545985.78,3074.54
b6c02471bc,248527.1,1614.12
31131a56a0,231674.32,1599.14
ac739b93d5,191675.82,1238.78
1c84ae825b,250983.7,1301.38
236c77bef3,1450427.84,6340.16
b94781bf65,265044.86,6301.36
ee0f074d18,264626.38,1678.22
491209a97a,1040255.8,4812.38
6838647e07,305292.4,14270.34
a8ce91143d,256143.76,1572.14
97b93cb9da,351703.64,1786.32
27d4c81c61,996916.5533333335,3637.24
a6afcab962,185051.02666666667,1175.32
9155022909,427564.68,2070.08
d18c0d9701,169362.2,1093.305
ea4fcf21b2,362473.98,2656.2453333333333
f84a19b7f0,564330.12,2403.62
557181a32f,1018961.9466666665,3111.36
04a7335370,230963.34,1636.92
a8f690dd33,276298.80666666664,1849.66
3c87bab291,371951.98,1903.22
4db9e2e999,361637.42,1829.02
14dd393119,564199.92,5952.34
f397d1c3b5,153466.54,1153.0583333333334
416abf241b,614437.12,4231.08
cd7b9e6892,230164.24,1652.425
1bbdeca9cc,418046.18666666665,3096.74
28d30af69a,424767.54,2430.18
7081ae7078,371546.1,2203.7
dee4cf0f73,3312805.74,17396.32
15eef1b505,511692.76,38862.06
acb50155fd,257374.12,5461.942857142857
2989f6a68f,777896.84,4620.92
8c918e75e8,1205252.86,27070.68
0eb180afce,650117.94,2744.9
dc7117940f,192778.58,1174.12
5910aa1a2d,892415.54,4287.28
f86d1b5388,3266829.9,16032.36
4c85b0d740,264467.98,1801.32
ff0092b0c1,276730.49,1632.8
10d4de0e3e,300398.0,26254.56
e41469f158,483822.7,2235.62
d462677f58,320921.88,1801.9666666666665
205cf47efe,1129603.68,4428.48
949ad84b01,433649.78,4130.7
17cad21fb5,820441.4966666666,4420.96
0ae1dec453,250784.9,1543.64
137d164658,1114248.6733333333,6031.54
5c6da2065f,829974.0533333332,5407.76
bd033b0ec3,457703.56,11602.233333333332
3436eeafc5,342683.6,2446.2
93c1417483,837650.42,4688.72
dfb1e61375,286956.3,1815.7066666666665
a62f4d13fc,482498.12,2750.28
e3d7f24801,1114567.8,6560.36
ae76df42b2,571540.64,2679.84
b9c8a85608,292459.84,2123.08
75f38e54ec,281973.7,1860.66
563b7c6a40,699220.82,4015.3
